MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	déviation accord voix +-Hz !8	dureté du marteau !11	fréq coupure filtre marteau passe bas !12	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25
Section	Instrument																	
InstrNom	Marque-Modele-SN																	
VersionDate	V3 250618																	
InstrDescription	Grand Piano marque modèle taille année SN historique																	
Auteur	Mr Bean																	
InstrType	piano																	
Diapason	440Hz@M69																	
GeneralMIDI	6																	
PedaleSoftVolume	-6dB																	
PedaleUnaCorda	1																	
PitchbendRange	2																	
DelaiNoteOff	0.1																	
NiveauCouplageMecanique	-33dB																	
Section	Clavier																	
1	PedaleForte	1001			1						pianoPedaleForteBas.wav	-12				0,8	pianoPedaleHaut.wav	-18
2	PedaleUnacorda	1002			=						pianoPedaleBas.wav	-18				=	=	=
3	PedaleSostenuto	1003			=						=	=				=	=	=
21	La -1	1	N12P2P1	1	1		5	500	-0,6	1	pianoMarteauBasse.wav	-6	3	-30	25	0,8	pianoTombeeDeMarteau+touche.wav	-18
22	La# -1	2	=	=	=		=	508	-0,57	0,99	=	=	=	=	24,44	0,791	=	=
23	Si -1	3	=	=	=		=	517	-0,56	0,98	=	=	=	=	24,16	0,783	=	=
24	Do 0	4	=	=	=		=	525	-0,55	0,97	=	=	=	=	23,88	0,774	=	=
25	Do# 0	5	=	=	=		=	533	-0,53	=	=	=	=	=	23,6	0,766	=	=
26	Ré 0	6	=	=	=		=	542	-0,52	0,96	=	=	=	=	23,32	0,757	=	=
27	Ré# 0	7	=	=	=		=	550	-0,5	0,95	=	=	4	=	23,04	0,748	=	=
28	Mi 0	8	=	=	=		=	558	-0,49	=	=	=	=	=	22,76	0,74	=	=
29	Fa 0	9	=	=	=		=	567	-0,48	0,94	=	=	=	=	22,48	0,731	=	=
30	Fa# 0	10	=	=	=		=	575	-0,46	0,93	=	=	=	=	22,2	0,722	=	=
31	Sol 0	11	=	=	=		=	583	-0,45	=	=	=	=	=	21,93	0,714	=	=
32	Sol# 0	12	=	=	=		=	592	-0,44	0,92	=	=	=	=	21,65	0,705	=	=
33	La 0	13	=	=	=		=	600	-0,42	0,91	=	=	5	=	21,37	0,697	=	=
34	La# 0	14	=	2	=	0,1	=	608	-0,41	0,9	=	=	4,846	=	21,09	0,688	=	=
35	Si 0	15	=	=	=	=	=	617	-0,4	=	=	=	4,769	=	20,81	0,679	=	=
36	Do 1	16	=	=	=	=	=	625	-0,38	0,89	=	=	4,692	=	20,53	0,671	=	=
37	Do# 1	17	=	=	=	=	=	633	-0,37	0,88	=	=	4,615	=	20,25	0,662	=	=
38	Ré 1	18	=	=	=	=	=	642	-0,35	=	=	=	4,538	=	19,97	0,653	=	=
39	Ré# 1	19	=	=	=	=	=	650	-0,34	0,87	=	=	4,462	=	19,69	0,645	=	=
40	Mi 1	20	=	=	=	=	=	658	-0,33	0,86	=	=	4,385	=	19,41	0,636	=	=
41	Fa 1	21	=	=	=	=	=	667	-0,31	=	=	=	4,308	=	19,13	0,628	=	=
42	Fa# 1	22	=	=	=	=	=	675	-0,3	0,85	=	=	4,231	=	18,85	0,619	=	=
43	Sol 1	23	=	=	=	=	=	683	-0,29	0,84	=	=	4,154	=	18,57	0,61	=	=
44	Sol# 1	24	=	=	=	=	=	692	-0,27	=	=	=	4,077	=	18,29	0,602	=	=
45	La 1	25	=	=	=	=	=	700	-0,26	0,83	=	=	4	=	18,01	0,593	=	=
46	La# 1	26	=	=	=	=	=	708	-0,25	0,82	=	=	3,769	=	17,73	0,584	=	=
47	Si 1	27	=	=	=	=	=	717	-0,23	=	=	=	3,654	=	17,45	0,576	=	=
48	Do 2	28	=	=	=	=	=	725	-0,22	0,81	=	=	3,538	=	17,17	0,567	=	=
49	Do# 2	29	=	=	=	=	=	733	-0,2	0,8	=	=	3,423	=	16,89	0,559	=	=
50	Ré 2	30	=	=	=	=	=	742	-0,19	=	=	=	3,308	=	16,61	0,55	=	=
51	Ré# 2	31	=	3	=	=	=	750	-0,18	0,79	=	=	3,192	=	16,33	0,541	=	=
52	Mi 2	32	=	=	=	=	=	758	-0,16	0,78	=	=	3,077	=	16,05	0,533	=	=
53	Fa 2	33	=	=	=	=	=	767	-0,15	0,77	=	=	2,962	=	15,78	0,524	=	=
54	Fa# 2	34	=	=	=	=	=	775	-0,14	=	=	=	2,846	=	15,5	0,516	=	=
55	Sol 2	35	=	=	=	=	=	783	-0,12	0,76	=	=	2,731	=	15,22	0,507	=	=
56	Sol# 2	36	=	=	=	=	=	792	-0,11	0,75	=	=	2,615	=	14,94	0,498	=	=
57	La 2	37	=	=	=	=	=	800	-0,1	=	=	=	2,5	=	14,66	0,49	=	=
58	La# 2	38	*	=	=	=	=	808	-0,08	0,74	=	=	2,346	=	14,38	0,481	=	=
59	Si 2	39	=	=	=	=	=	817	-0,07	0,73	=	=	2,269	=	14,1	0,472	=	=
60	Do 3	40	=	=	=	=	=	825	-0,05	=	=	=	2,192	=	13,82	0,464	=	=
61	Do# 3	41	=	=	=	=	=	833	-0,04	0,72	=	=	2,115	=	13,54	0,455	=	=
62	Ré 3	42	=	=	=	=	=	842	-0,03	0,71	=	=	2,038	=	13,26	0,447	=	=
63	Ré# 3	43	=	=	=	=	=	850	-0,01	=	=	=	1,962	=	12,98	0,438	=	=
64	Mi 3	44	=	=	=	=	=	858		0,7	=	=	1,885	=	12,7	0,429	=	=
65	Fa 3	45	=	=	=	=	=	867	0,01	0,69	=	=	1,808	=	12,42	0,421	=	=
66	Fa# 3	46	=	=	=	=	=	875	0,03	=	=	=	1,731	=	12,14	0,412	=	=
67	Sol 3	47	=	=	=	=	=	883	0,04	0,68	=	=	1,654	=	11,86	0,403	=	=
68	Sol# 3	48	=	=	=	=	=	892	0,05	0,67	=	=	1,577	=	11,58	0,395	=	=
69	La 3	49	T-12P1P2 T+12P2P1	=	=	=	=	900	0,07	=	=	=	1,5	=	11,3	0,386	=	=
70	La# 3	50	*	=	=	=	=	908	0,08	0,66	=	=	1,423	=	11,02	0,378	=	=
71	Si 3	51	=	=	=	=	=	917	0,1	0,65	=	=	1,385	=	10,74	0,369	=	=
72	Do 4	52	=	=	=	=	=	925	0,11	=	=	=	1	=	10,46	0,36	=	=
73	Do# 4	53	=	=	=	=	=	933	0,12	0,64	=	=	1,308	=	10,18	0,352	=	=
74	Ré 4	54	=	=	=	=	=	942	0,14	0,63	=	=	1,269	=	9,9	0,343	=	=
75	Ré# 4	55	=	=	=	=	=	950	0,15	=	=	=	1,231	=	9,63	0,334	=	=
76	Mi 4	56	=	=	=	=	=	958	0,16	0,62	=	=	1,192	=	9,35	0,326	=	=
77	Fa 4	57	=	=	=	=	=	967	0,18	0,61	=	=	1,154	=	9,07	0,317	=	=
78	Fa# 4	58	=	=	=	=	=	975	0,19	0,6	=	=	1,115	=	8,79	0,309	=	=
79	Sol 4	59	=	=	=	=	=	983	0,2	=	=	=	1,077	=	8,51	0,3	=	=
80	Sol# 4	60	=	=	=	=	=	992	0,22	0,59	=	=	1,038	=	8,23	0,291	=	=
81	La 4	61	N-12P1P2 T+12P2P1	=	=	=	=	1000	0,23	0,58	pianoMarteauAigue.wav	-12	1	=	7,95	0,283	=	=
82	La# 4	62	*	=	=	=	=	1026	0,25	=	=	=	0,877	=	7,67	0,274	=	=
83	Si 4	63	=	=	=	=	=	1087	0,26	0,57	=	=	0,815	=	7,39	0,266	=	=
84	Do 5	64	=	=	=	=	=	1151	0,27	0,56	=	=	0,754	=	7,11	0,257	=	=
85	Do# 5	65	=	=	=	=	=	1220	0,29	=	=	=	0,692	=	6,83	0,248	=	=
86	Ré 5	66	=	=	=	=	=	1292	0,3	0,55	=	=	0,631	=	6,55	0,24	=	=
87	Ré# 5	67	=	=	=	=	=	1369	0,31	0,54	=	=	0,569	=	6,27	0,231	=	=
88	Mi 5	68	=	=	=	=	=	1450	0,33	=	=	=	0,508	=	5,99	0,222	=	=
89	Fa 5	69	=	=		=	=	1537	0,34	0,53	=	=	0,446	=	5,71	0,214	=	=
90	Fa# 5	70	=	=		=	=	1628	0,35	0,52	=	=	0,385	=	5,43	0,205	=	=
91	Sol 5	71	=	=		=	=	1725	0,37	=	=	=	0,323	=	5,15	0,197	=	=
92	Sol# 5	72	=	=		=	=	1827	0,38	0,51	=	=	0,262	=	4,87	0,188	=	=
93	La 5	73	N-12P1P2 T+12P2P1	=		=	=	1936	0,4	0,5	=	=	0,2	=	4,59	0,179	=	=
94	La# 5	74	*	=		=	=	2051	0,41	=	=	=	0,185	=	4,31	0,171	=	=
95	Si 5	75	=	=		=	=	2173	0,42	0,49	=	=	0,177	=	4,03	0,162	=	=
96	Do 6	76	=	=		=	=	2302	0,44	0,48	=	=	0,169	=	3,75	0,153	=	=
97	Do# 6	77	=	=		=	=	2439	0,45	0,47	=	=	0,162	=	3,48	0,145	=	=
98	Ré 6	78	=	=		=	=	2584	0,46	=	=	=	0,154	=	3,2	0,136	=	=
99	Ré# 6	79	=	=		=	=	2738	0,48	0,46	=	=	0,146	=	2,92	0,128	=	=
100	Mi 6	80	=	=		=	=	2901	0,49	0,45	=	=	0,138	=	2,64	0,119	=	=
101	Fa 6	81	=	=		=	=	3073	0,5	=	=	=	0,131	=	2,36	0,11	=	=
102	Fa# 6	82	=	=		=	=	3256	0,52	0,44	=	=	0,123	=	2,08	0,102	=	=
103	Sol 6	83	=	=		=	=	3450	0,53	0,43	=	=	0,115	=	1,8	0,093	=	=
104	Sol# 6	84	=	=		=	=	3655	0,55	=	=	=	0,108	=	1,52	0,084	=	=
105	La 6	85	N-12P1P2	=		=	=	3872	0,56	0,42	=	=	0,1	=	1,24	0,076	=	=
106	La# 6	86	=	=		=	=	4102	0,57	0,41	=	=	=	=	0,96	0,067	=	=
107	Si 6	87	=	=		=	=	4346	0,59	=	=	=	=	=	0,68	0,059	=	=
108	Do 7	88	=	=		=	=	4605	0,6	0,4	=	=	=	=	0,4	0,05	=	=
